Role,Name,Start,End
Presidential 1828,Presidential 1828,1831-01-01,1831-12-30
Presidential 1828,Presidential 1828,1835-01-01,1835-12-30
Temperance Movement,Temperance Movement,1827-01-01,1827-12-30
Temperance Movement,Temperance Movement,1831-01-01,1847-12-30
Presidential 1832,Presidential 1832,1828-01-01,1834-12-30
Spoils System,Spoils System,1829-01-01,1833-12-30
Spoils System,Spoils System,1840-01-01,1841-12-30
Spoils System,Spoils System,1846-01-01,1846-12-30
Democratic Party,Democratic Party,1830-01-01,1830-12-30
Democratic Party,Democratic Party,1834-01-01,1846-12-30
National Republican Party,National Republican Party,1830-01-01,1834-12-30
Tariff of 1828,Tariff of 1828,1830-01-01,1833-12-30
American System,American System,1831-01-01,1831-12-30
American System,American System,1833-01-01,1833-12-30
American System,American System,1835-01-01,1835-12-30
Anti-Slavery Petitions,Anti-Slavery Petitions,1831-01-01,1847-12-30
National Nominating Conventions,National Nominating Conventions,1831-01-01,1832-12-30
National Nominating Conventions,National Nominating Conventions,1839-01-01,1840-12-30
National Nominating Conventions,National Nominating Conventions,1843-01-01,1843-12-30
Northwest Ordinance,Northwest Ordinance,1831-01-01,1831-12-30
Northwest Ordinance,Northwest Ordinance,1835-01-01,1835-12-30
Northwest Ordinance,Northwest Ordinance,1837-01-01,1838-12-30
Northwest Ordinance,Northwest Ordinance,1843-01-01,1844-12-30
Tariff of 1816,Tariff of 1816,1831-01-01,1831-12-30
Alien and Sedition Acts,Alien and Sedition Acts,1833-01-01,1834-12-30
Alien and Sedition Acts,Alien and Sedition Acts,1836-01-01,1836-12-30
Presidential 1836,Presidential 1836,1833-01-01,1837-12-30
Presidential 1836,Presidential 1836,1839-01-01,1840-12-30
Indian Removal,Indian Removal,1834-01-01,1834-12-30
Indian Removal,Indian Removal,1838-01-01,1838-12-30
Indian Removal,Indian Removal,1843-01-01,1843-12-30
Whig Party,Whig Party,1834-01-01,1847-12-30
Smithsonian Institution,Smithsonian Institution,1835-01-01,1847-12-30
Federalist Papers,Federalist Papers,1836-01-01,1837-12-30
Gag Rule,Gag Rule,1836-01-01,1845-12-30
Texas Revolution and Independence,Texas Revolution and Independence,1836-01-01,1838-12-30
Texas Revolution and Independence,Texas Revolution and Independence,1843-01-01,1843-12-30
Panic of 1837,Panic of 1837,1837-01-01,1837-12-30
Presidential 1840,Presidential 1840,1837-01-01,1841-12-30
Amistad,Amistad,1839-01-01,1845-12-30
Amistad,Amistad,1847-01-01,1847-12-30
Transcendentalism,Transcendentalism,1840-01-01,1840-12-30
Transcendentalism,Transcendentalism,1846-01-01,1846-12-30
Webster-Ashburton Treaty,Webster-Ashburton Treaty,1842-01-01,1847-12-30
Presidential 1844,Presidential 1844,1843-01-01,1846-12-30
Church of Jesus Christ of Latter-day Saints,Church of Jesus Christ of Latter-day Saints,1844-01-01,1844-12-30
American Party,American Party,1846-01-01,1846-12-30
Mexican War,Mexican War,1846-01-01,1848-12-30
Wilmot Proviso,Wilmot Proviso,1846-01-01,1846-12-30
Presidential 1848,Presidential 1848,1847-01-01,1847-12-30
