Role,Name,Start,End
Seminole Wars,Seminole Wars,1824-01-02,1825-12-31
Seminole Wars,Seminole Wars,1830-01-02,1832-12-31
Seminole Wars,Seminole Wars,1839-01-02,1842-12-31
Seminole Wars,Seminole Wars,1844-01-02,1846-12-31
Indian Removal,Indian Removal,1834-01-02,1834-12-31
Indian Removal,Indian Removal,1838-01-02,1838-12-31
Indian Removal,Indian Removal,1843-01-02,1843-12-31
------Slavery and Enslaved People------
Slavery and Enslaved Persons,Slavery and Enslaved Persons,1785-01-02,1785-12-31
Slavery and Enslaved Persons,Slavery and Enslaved Persons,1795-01-02,1795-12-31
Slavery and Enslaved Persons,Slavery and Enslaved Persons,1817-01-02,1828-12-31
Slavery and Enslaved Persons,Slavery and Enslaved Persons,1830-01-02,1847-12-31
Pro-Slavery Movements,Pro-Slavery Movements,1820-01-02,1821-12-31
Texas Annexation,Texas Annexation,1820-01-02,1820-12-31
Texas Annexation,Texas Annexation,1838-01-02,1838-12-31
Texas Annexation,Texas Annexation,1841-01-02,1846-12-31
Wilmot Proviso,Wilmot Proviso,1846-01-02,1846-12-31
------Personal Relationships------
Courtship and Marriage of JQA and LCA,Courtship and Marriage of JQA and LCA,1796-01-02,1797-12-31
Courtship and Marriage of JQA and LCA,Courtship and Marriage of JQA and LCA,1844-01-02,1845-12-31
------Political Groups------
Loyalists,Loyalists,1785-01-02,1785-12-31
Loyalists,Loyalists,1787-01-02,1788-12-31
Loyalists,Loyalists,1840-01-02,1840-12-31
Anti-Federalists,Anti-Federalists,1788-01-02,1788-12-31
Federalist Party,Federalist Party,1795-01-02,1795-12-31
Federalist Party,Federalist Party,1802-01-02,1809-12-31
Federalist Party,Federalist Party,1811-01-02,1812-12-31
Federalist Party,Federalist Party,1828-01-02,1831-12-31
Federalist Party,Federalist Party,1833-01-02,1835-12-31
Federalist Party,Federalist Party,1837-01-02,1838-12-31
Federalist Party,Federalist Party,1840-01-02,1841-12-31
Federalist Party,Federalist Party,1845-01-02,1845-12-31
Democratic-Republican Party,Democratic-Republican Party,1803-01-02,1806-12-31
Democratic-Republican Party,Democratic-Republican Party,1808-01-02,1808-12-31
Democratic-Republican Party,Democratic-Republican Party,1818-01-02,1818-12-31
Democratic-Republican Party,Democratic-Republican Party,1822-01-02,1824-12-31
Democratic-Republican Party,Democratic-Republican Party,1830-01-02,1830-12-31
Democratic-Republican Party,Democratic-Republican Party,1832-01-02,1833-12-31
Democratic-Republican Party,Democratic-Republican Party,1835-01-02,1835-12-31
Essex Junto,Essex Junto,1808-01-02,1808-12-31
Essex Junto,Essex Junto,1830-01-02,1830-12-31
Essex Junto,Essex Junto,1833-01-02,1833-12-31
Hartford Convention,Hartford Convention,1814-01-02,1815-12-31
Hartford Convention,Hartford Convention,1828-01-02,1830-12-31
Hartford Convention,Hartford Convention,1833-01-02,1836-12-31
Hartford Convention,Hartford Convention,1840-01-02,1841-12-31
Hartford Convention,Hartford Convention,1845-01-02,1846-12-31
Anti-Masonic Party,Anti-Masonic Party,1827-01-02,1839-12-31
Anti-Masonic Party,Anti-Masonic Party,1841-01-02,1841-12-31
Democratic Party,Democratic Party,1830-01-02,1830-12-31
Democratic Party,Democratic Party,1834-01-02,1846-12-31
National Republican Party,National Republican Party,1830-01-02,1834-12-31
Whig Party,Whig Party,1834-01-02,1847-12-31
American Party,American Party,1846-01-02,1846-12-31
